date_time(UTC:PDT+7),raw_pressure(cm),barocorrected_pressure(cm),adjusted_stage(cm),estimated_discharge(cms),water_temperature(deg_C),discharge_flag
2023-04-21 23:00:00,930.39,187.15055908203124,176.83762945518498,63.03923720706753,0.097,2
2023-04-21 23:30:00,930.69,187.4505590820313,177.13762945518505,63.262345168086526,0.096,2
2023-04-22 00:00:00,931.28,188.0405590820312,177.72762945518494,63.7020673197439,0.095,2
2023-04-22 00:30:00,931.08,187.8405590820313,177.52762945518504,63.55286893091387,0.095,2
2023-04-22 01:00:00,931.47,188.23055908203128,177.91762945518502,63.843938747161594,0.094,2
2023-04-22 01:30:00,931.98,188.74055908203127,178.427629455185,64.22539169012764,0.094,2
2023-04-22 02:00:00,932.73,189.49055908203127,179.177629455185,64.78804474046397,0.093,2
2023-04-22 02:30:00,933.64,190.40055908203124,180.08762945518498,65.47343240387183,0.093,2
2023-04-22 03:00:00,935.42,192.1805590820312,181.86762945518495,66.82262501026001,0.092,2
2023-04-22 03:30:00,936.62,193.38055908203123,183.06762945518497,67.73855722044567,0.092,2
2023-04-22 04:00:00,938.2,194.9605590820313,184.64762945518504,68.95232759551521,0.092,2
2023-04-22 04:30:00,939.75,196.51055908203125,186.197629455185,70.15163421767949,0.091,2
2023-04-22 05:00:00,941.45,198.2105590820313,187.89762945518504,71.47674542198241,0.091,2
2023-04-22 05:30:00,943.19,199.9505590820313,189.63762945518505,72.84355600578496,0.09,2
2023-04-22 06:00:00,944.99,201.7505590820313,191.43762945518503,74.26865932119001,0.09,2
2023-04-22 06:30:00,946.96,203.7205590820313,193.40762945518503,75.84131884807059,0.09,2
2023-04-22 07:00:00,949.1,205.86055908203127,195.54762945518502,77.5649843339949,0.089,2
2023-04-22 07:30:00,951.21,207.9705590820313,197.65762945518503,79.28001905056085,0.09,2
2023-04-22 08:00:00,953.49,210.2505590820313,199.93762945518503,81.15049908228478,0.09,2
2023-04-22 08:30:00,955.64,212.40055908203124,202.08762945518498,82.93069440010069,0.09,2
2023-04-22 09:00:00,957.69,214.4505590820313,204.13762945518505,84.6428263430448,0.091,2
2023-04-22 09:30:00,959.58,216.3405590820313,206.02762945518504,86.23402750866981,0.092,2
2023-04-22 10:00:00,961.52,218.28055908203123,207.96762945518498,87.87995121153575,0.092,2
2023-04-22 10:30:00,963.37,220.13055908203123,209.81762945518497,89.46139399113817,0.093,2
2023-04-22 11:00:00,965.2,221.9605590820313,211.64762945518504,91.03711021881014,0.094,2
2023-04-22 11:30:00,966.72,223.48055908203128,213.16762945518502,92.35447353686577,0.095,2
2023-04-22 12:00:00,968.09,224.85055908203128,214.53762945518503,93.54848109141838,0.096,2
2023-04-22 12:30:00,969.42,226.1805590820312,215.86762945518495,94.71364173548601,0.097,2
2023-04-22 13:00:00,970.47,227.23055908203128,216.91762945518502,95.63768229464323,0.098,2
2023-04-22 13:30:00,971.51,228.27055908203124,217.95762945518499,96.55654861802537,0.099,2
2023-04-22 14:00:00,972.37,229.13055908203123,218.81762945518497,97.31910192285883,0.1,2
2023-04-22 14:30:00,973.11,229.8705590820313,219.55762945518504,97.97722162869407,0.101,2
2023-04-22 15:00:00,973.77,230.53055908203123,220.21762945518498,98.56572813374677,0.102,2
2023-04-22 15:30:00,973.98,230.74055908203127,220.427629455185,98.7532834253219,0.103,2
2023-04-22 16:00:00,974.25,231.01055908203125,220.697629455185,98.99464090369638,0.104,2
