Serial_number:,,,,
2052075,,,,
Project ID:,,,,
,,,,
Location:,,,,
BugCamp_Baro,,,,
LEVEL,,,,
UNIT: kPa,,,,
TEMPERATURE,,,,
UNIT: °C,,,,
Date,Time (UTC),ms,LEVEL,TEMPERATURE
7/1/2021,12:00:00 AM,0,74.634,20.414
7/1/2021,12:30:00 AM,0,74.6212,19.836
7/1/2021,1:00:00 AM,0,74.6441,18.55
7/1/2021,1:30:00 AM,0,74.6541,17.778
7/1/2021,2:00:00 AM,0,74.5574,16.601
7/1/2021,2:30:00 AM,0,74.509,15.698
7/1/2021,3:00:00 AM,0,74.4557,15.016
7/1/2021,3:30:00 AM,0,74.4448,14.537
7/1/2021,4:00:00 AM,0,74.4508,14.111
7/1/2021,4:30:00 AM,0,74.4493,13.706
7/1/2021,5:00:00 AM,0,74.4346,13.323
7/1/2021,5:30:00 AM,0,74.4312,12.975
7/1/2021,6:00:00 AM,0,74.4311,12.629
7/1/2021,6:30:00 AM,0,74.4202,12.278
7/1/2021,7:00:00 AM,0,74.4174,11.954
7/1/2021,7:30:00 AM,0,74.4401,11.662
7/1/2021,8:00:00 AM,0,74.4395,11.361
7/1/2021,8:30:00 AM,0,74.4148,11.101
7/1/2021,9:00:00 AM,0,74.3871,10.849
7/1/2021,9:30:00 AM,0,74.3824,10.56
7/1/2021,10:00:00 AM,0,74.3887,10.295
7/1/2021,10:30:00 AM,0,74.3652,10.024
7/1/2021,11:00:00 AM,0,74.3753,9.786
7/1/2021,11:30:00 AM,0,74.3724,9.533
7/1/2021,12:00:00 PM,0,74.3884,9.28
7/1/2021,12:30:00 PM,0,74.41,9.067
7/1/2021,1:00:00 PM,0,74.4126,8.847
7/1/2021,1:30:00 PM,0,74.4291,8.644
7/1/2021,2:00:00 PM,0,74.4301,8.45
7/1/2021,2:30:00 PM,0,74.4427,9.57
7/1/2021,3:00:00 PM,0,74.4478,9.93
7/1/2021,3:30:00 PM,0,74.4534,10.159
7/1/2021,4:00:00 PM,0,74.4477,10.621
7/1/2021,4:30:00 PM,0,74.4343,11.118
7/1/2021,5:00:00 PM,0,74.4273,11.537
7/1/2021,5:30:00 PM,0,74.437,12.004
7/1/2021,6:00:00 PM,0,74.4276,12.515
7/1/2021,6:30:00 PM,0,74.4277,13.11
7/1/2021,7:00:00 PM,0,74.4168,13.791
7/1/2021,7:30:00 PM,0,74.4149,14.563
7/1/2021,8:00:00 PM,0,74.4072,15.441
7/1/2021,8:30:00 PM,0,74.3835,16.41
7/1/2021,9:00:00 PM,0,74.3738,17.345
7/1/2021,9:30:00 PM,0,74.3472,18.033
7/1/2021,10:00:00 PM,0,74.339,18.705
7/1/2021,10:30:00 PM,0,74.3618,19.029
7/1/2021,11:00:00 PM,0,74.4271,19.145
7/1/2021,11:30:00 PM,0,74.4365,18.887
7/2/2021,12:00:00 AM,0,74.4448,18.364
7/2/2021,12:30:00 AM,0,74.4555,17.757
7/2/2021,1:00:00 AM,0,74.5073,16.91
7/2/2021,1:30:00 AM,0,74.5188,16.268
7/2/2021,2:00:00 AM,0,74.4278,15.795
7/2/2021,2:30:00 AM,0,74.3721,15.232
7/2/2021,3:00:00 AM,0,74.363,14.81
7/2/2021,3:30:00 AM,0,74.3815,14.375
7/2/2021,4:00:00 AM,0,74.4102,14.046
7/2/2021,4:30:00 AM,0,74.4234,13.664
7/2/2021,5:00:00 AM,0,74.43,13.317
7/2/2021,5:30:00 AM,0,74.4202,12.892
7/2/2021,6:00:00 AM,0,74.4114,12.515
7/2/2021,6:30:00 AM,0,74.3995,12.135
7/2/2021,7:00:00 AM,0,74.4026,11.801
7/2/2021,7:30:00 AM,0,74.3832,11.472
7/2/2021,8:00:00 AM,0,74.3863,11.198
7/2/2021,8:30:00 AM,0,74.3921,10.895
7/2/2021,9:00:00 AM,0,74.3922,10.62
7/2/2021,9:30:00 AM,0,74.4021,10.372
7/2/2021,10:00:00 AM,0,74.3929,10.122
7/2/2021,10:30:00 AM,0,74.3796,9.889
7/2/2021,11:00:00 AM,0,74.3964,9.66
7/2/2021,11:30:00 AM,0,74.4059,9.446
7/2/2021,12:00:00 PM,0,74.412,9.228
7/2/2021,12:30:00 PM,0,74.4191,9.035
